title,importance_significance,location,address,city,state,zip_code,geocode_location,latitude,longitude,geocode_status,subject,date_built_architect,date,date_first,date_first_range_year,date_altered,date_altered_range,date_destruction,is_date_approximate,architects,original_photo,photo_exists_2023Jun06,filename,rights,format,objectid,headline,exhibits
Divine Lorraine Hotel,,North,699 N. Broad St.,Philadelphia,PA,19123,"699 N Broad St, Philadelphia, PA, USA",39.966699,-75.160017,success,hotel; apartment building,"1894, Willis G. Hale",1894,1894,,,,,FALSE,Willis G. Hale,,,,,none,dream_073,,
Bethany A.M.E. Church,,Northeast,8820 Ashton Rd.,Philadelphia,PA,19136,"8820 Ashton Rd, Philadelphia, PA, USA",40.058183,-75.027363,success,church,"early 19th century; Elias Chase, builder",1800,1800,50,,,,TRUE,"Elias Chase, builder",,,,,none,dream_074,,
Germantown Historical Society / Fromberger House,,Northwest,5501-5505 Germantown Ave.,Philadelphia,PA,19144,"Germantown Avenue, Philadelphia, PA, USA",39.973054,-75.141599,doubt,dwelling; young women's christian association; church; office building,"ca. 1795-96; enlarged 1917; renovated after fire, 1930; rehabbed, 1952-54, G. Edwin",1795,1795,1,1917;1930;1952,0;0;2,,TRUE,G. Edwin,https://www.preservationalliance.com/images/aia/5501Germantown.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_075,women,women
Northern Home for Children,,Northwest,5301 Ridge Ave.,Philadelphia,PA,19128,"5301 Ridge Ave, Philadelphia, PA, USA",40.021044,-75.208578,success,,"alterations, 1927, Horace Trumbauer (Julian Abele)",1927,,,1927,,,FALSE,alterations: Horace Trumbauer (Julian Abele),,,,,none,dream_076,,
Grace Baptist Church Building #1,,Northwest,34-36 E. Sharpnack St.,Philadelphia,PA,19119,"34-36 E Sharpnack St, Philadelphia, PA, USA",40.049813,-75.183061,success,church,"1908, Jacob Naschold",1908,1908,,,,,FALSE,Jacob Naschold,https://www.preservationalliance.com/images/aia/34-6ESharpnack.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_077,,
Coulter Street School site / Daniel L. Keyser School / Wissahickon Boys and Girls Club,,Northwest,328 W. Coulter St.,Philadelphia,PA,19144,"328 W Coulter St, Philadelphia, PA, USA",40.026712,-75.176742,success,school,"ca. 1887-1899, Joseph Anshutz",1887,1887,12,,,,TRUE,Joseph Anshutz,https://www.preservationalliance.com/images/aia/328WCoulter.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_078,women,women
Galilee Baptist Church Building,,Northwest,457 Roxborough Ave.,Philadelphia,PA,19128,"457 Roxborough Ave, Philadelphia, PA, USA",40.028745,-75.213417,success,church,"1900, Kennedy & Kelsey",1900,1900,,,,,FALSE,Kennedy & Kelsey,,,,,none,dream_079,,
Thomas Meehan Public School,,Northwest,5347-5353 Pulaski Ave.,Philadelphia,PA,19144,"Pulaski Avenue, Philadelphia, PA, USA",40.032722,-75.182942,doubt,school,"1901, Lloyd Titus",1901,1901,,,,,FALSE,Lloyd Titus,https://www.preservationalliance.com/images/aia/5347Pulaski.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_080,women,women
Grace Baptist Church Building #2,,Northwest,25 W. Johnson St.,Philadelphia,PA,19144,"West Johnson Street, Philadelphia, PA, USA",40.037799,-75.190539,doubt,church,"late 1960s, Mansell, McGettigan & Fugate",1965,1965,5,,,,TRUE,"Mansell, McGettigan & Fugate",https://www.preservationalliance.com/images/aia/25WJohnson.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_081,,
Canaan Baptist Church Building / West Side Presbyterian Church Building,,Northwest,5430 Pulaski Ave.,Philadelphia,PA,19144,"5430 Pulaski Avenue, Philadelphia, PA, USA",40.028438,-75.177459,success,church,"1891, Mantle Fielding",1891,1891,,,,,FALSE,Mantle Fielding,https://www.preservationalliance.com/images/aia/5430Pulaski.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_082,,
Janes Methodist Church Building,,Northwest,528 E. Haines St.,Philadelphia,PA,19144,"528 E Haines St, Philadelphia, PA, USA",40.044930,-75.169789,success,church,"ca. 1898 or 1911, Rankin and Kellogg",1898,1898;1911,,,,,TRUE,Rankin and Kellogg,https://www.preservationalliance.com/images/aia/528EHaines.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_083,,
Germantown YMCA,,Northwest,5722 Greene St.,Philadelphia,PA,19144,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,young men's Christian association,"1928, Thomas, Martin & Kirkpatrick",1928,1928,,,,,FALSE,"Thomas, Martin & Kirkpatrick",https://www.preservationalliance.com/images/aia/5722Greene.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_084,,
Bethel A.M.E. Church (Germantown) Building #2 / Rialto Theater Building / Tulpehocken Theater Building,,Northwest,6153 Germantown Ave.,Philadelphia,PA,19144,"Germantown Avenue, Philadelphia, PA, USA",39.973054,-75.141599,doubt,church,"1914, architect unknown; alterations, William H. Lee, c. 1936; alterations c.1976",1914,1914,,1936;1976,,,TRUE,unknown; alterations: William H. Lee,https://www.preservationalliance.com/images/aia/6153Germantown.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_085,,
Bainbridge Club / Hotel Brotherhood USA,,South,1523-1529 Bainbridge St.,Philadelphia,PA,19146,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt,clubhouse,"ca. 1919, A. Borzner",1919,1919,,,,,TRUE,A. Borzner,,,,,none,dream_086,,
Gloria Dei Church / Old Swedes' Episcopal Church,,South,916 S. Swanson St.,Philadelphia,PA,19147,"South Swanson Street, Philadelphia, PA, USA",39.916921,-75.146962,doubt,church,"1677-1698, Andrew Rudman; alterations, 1703-1705, ca. 1733, 1845; alterations, 1896, George Champlin Mason, Jr.",1677,1677,11,1703;1733;1896,2;0;0,,TRUE,"Andrew Rudman; alterations: George Champlin Mason, Jr.",,,,,none,dream_087,,
Elks Lodge,,South,739-43 S. 16th St.,Philadelphia,PA,19146,"South 16th Street, Philadelphia, PA, USA",39.912384,-75.175282,doubt,,"ca. 1928, C. Adams",1928,1928,,,,,TRUE,C. Adams,,,,,none,dream_088,,
Union Baptist Church Building #2,,South,1910 Fitzwater St.,Philadelphia,PA,19146,"1910 Fitzwater Street, Philadelphia, PA, USA",39.942723,-75.174563,success,church,"1913, Charles Bolton & Son; alterations, 1926, Charles Bolton & Son",1913,1913,,1926,,,FALSE,Charles Bolton & Son; alterations: Charles Bolton & Son,,,,,none,dream_089,,
St. Charles Borromeo Church,,South,1941 Christian St.,Philadelphia,PA,19146,"1941 Christian Street, Philadelphia, PA, USA",39.941299,-75.175457,success,church,"1876, Edwin Forrest Durang",1876,1876,,,,,FALSE,Edwin Forrest Durang,https://www.preservationalliance.com/images/aia/1941ChristianSt.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_090,,
Holy Trinity Baptist Church,,South,1818-1824 Bainbridge St.,Philadelphia,PA,19146,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt,church,"1900, Edwin Gilbert of Gilbert & Reid",1900,1900,,,,,FALSE,Edwin Gilbert of Gilbert & Reid,,,,,none,dream_091,,
YWCA - Southwest-Belmont Branch,Significant site of Black women's organizing; oldest black Y.W.C.A. branch; founded in 1870,South,1607-15 Catharine St.,Philadelphia,PA,19146,"Catharine Street, Philadelphia, PA, USA",39.936955,-75.142769,doubt,young women's Christian association,"ca. 1922, Erskine, Morris",1922,1922,,,,,TRUE,"Erskine, Morris",,,,,none,dream_092,women,women
Shiloh Baptist Church #3 / Church of the Holy Apostles,,South,2040 Christian St.,Philadelphia,PA,19146,"2040 Christian St, Philadelphia, PA, USA",39.941156,-75.177490,success,church,"1868-1870, Fraser, Furness & Hewitt; alterations, 1890, George W. Hewitt",1868,1868,2,1890,,,FALSE,"Fraser, Furness & Hewitt; alterations: George W. Hewitt",https://www.preservationalliance.com/images/aia/2040ChristianSt.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_093,,
Harrison Day Nursery,,South,1839-1843 Ellsworth St.,Philadelphia,PA,19146,"Ellsworth Street, Philadelphia, PA, USA",39.933044,-75.146626,doubt,day care,"1898, Furness, Evans and Co.",1898,1898,,,,,FALSE,"Furness, Evans and Co.",,,,,none,dream_094,,
Zion A.M.E. Church,,South,1600 S. 21st St.,Philadelphia,PA,19145,"1600-06 S 21st St, Philadelphia, PA, USA",39.931847,-75.180092,success,church,"1925-1928, George E. Savage",1925,1925,3,,,,FALSE,George E. Savage,,,,,none,dream_095,,
St. Martha's House / Houston Community Center,,South,2029 S. 8th St.,Philadelphia,PA,19148,"2029 South 8th Street, Philadelphia, PA, USA",39.923225,-75.159555,success,settlement house,"ca. 1914, Hastings Brockie",1914,1914,,,,,TRUE,Hastings Brockie,,,,,none,dream_096,,
St. Mary Chapel Building,,South,1831-1835 Bainbridge St.,Philadelphia,PA,19146,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt,church,"1897, Hazlehurst & Huckel",1897,1897,,,,,FALSE,Hazlehurst & Huckel,,,,,none,dream_097,,
Varick Memorial Church Site,,South,763 S. 19th St.,Philadelphia,PA,19146,"763 S 19th St, Philadelphia, PA, USA",39.942029,-75.173852,success,church,"1889, Hazlehurst & Huckel",1889,1889,,,,,FALSE,Hazlehurst & Huckel,,,,,none,dream_098,,
Friendship Baptist Church / 18th Street Baptist Church / 18th Street Methodist Episcopal Church,,South,1730 Wharton St.,Philadelphia,PA,19146,"Wharton Street, Philadelphia, PA, USA",39.938259,-75.198929,doubt,church,"1885-1888, J. Franklin Stuckert",1885,1885,3,,,,FALSE,J. Franklin Stuckert,,,,,none,dream_099,,
Church of the Crucifixion Building and Parish House,,South,620 S. 8th St.,Philadelphia,PA,19147,"South 8th Street, Philadelphia, PA, USA",39.932037,-75.157756,doubt,church,"1883, Pursell & Fry; 1902, Isaac Pursell and Duhring, Okie & Ziegler",1883,1883,,1902,,,FALSE,"Pursell & Fry; Isaac Pursell and Duhring, Okie & Ziegler",https://www.preservationalliance.com/images/aia/620S8thSt.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_100,,
Tasker Street Baptist Church / Metropolitan Baptist Church,,South,2010 Tasker St.,Philadelphia,PA,19145,"Tasker Street, Philadelphia, PA, USA",39.930982,-75.172246,doubt,church,"ca. 1900, S. Bythewood; alterations, 1928 and 1940, Richard R. Neely",1900,1900,,1928;1940,,,TRUE,S. Bythewood; Richard R. Neely,,,,,none,dream_101,,
First African Presbyterian Church / Tabor Chapel / St. Paul's German Reform Church / First Colored Wesley Methodist Church,,South,1642 Fitzwater St.,Philadelphia,PA,19146,"1642 Fitzwater St, Philadelphia, PA, USA",39.942237,-75.170639,success,church,"1857, Samuel Sloan",1857,1857,,,,,FALSE,Samuel Sloan,https://www.preservationalliance.com/images/aia/1642FitzwaterSt.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_102,,
Union Baptist Building #1 / New Hope Temple Baptist Church,,South,711-715 S. 12th St.,Philadelphia,PA,19147,"South 12th Street, Philadelphia, PA, USA",39.932836,-75.164046,doubt,church,"1893, Thomas Bennett",1893,1893,,,,,FALSE,Thomas Bennett,https://www.preservationalliance.com/images/aia/711-15S12thStb.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_103,,
Moyamensing Prison,American prison where the impriosnment of abolitionist Passmore Williamson created a stir around 1855.,South,10th and Reed Sts.,Philadelphia,PA,19147,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,prison,"ca. 1832-1835, Thomas Ustick Walter; many alterations; demolished 1968",1832,1832,3,,,1968,TRUE,Thomas Ustick Walter,,,,,none,dream_104,,
St. Simon the Cyrenian Church and Rectory,,South,1401 S. 22nd St.,Philadelphia,PA,19146,"South 22nd Street, Philadelphia, PA, USA",39.942367,-75.179209,doubt,church,"1905 (rectory), 1913-1914, Thomas, Churchman & Molitor",1905,1905;1913,0;1,,,,FALSE,"Thomas, Churchman & Molitor",,,,,none,dream_105,,
First Penny Savings and Loan,,South,2052 Bainbridge St.,Philadelphia,PA,19146,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt,bank,"ca. 1914, W. Haddock",1914,1914,,,,,TRUE,W. Haddock,,,,,none,dream_106,,
First African Baptist Church Building,,South,1600-1606 Christian St.,Philadelphia,PA,19146,"Christian Street, Philadelphia, PA, USA",39.939942,-75.165555,doubt,church,"1904, Watson & Huckel",1904,1904,,,,,FALSE,Watson & Huckel,,,,,none,dream_107,,
Shiloh Baptist Church #1 / Murray Chapel / Mount Olive A.M.E. Church / Waters Memorial A.M.E. Church,,South,609 S. Clifton St.,Philadelphia,PA,19147,"609 S Clifton St, Philadelphia, PA, USA",39.942645,-75.159714,success,church,"ca. 1840; alterations, 1895, Wilson Brothers; alterations, 1921, C. Wilson; alterations, 1953",1840,1840,,1895;1921;1953,,,FALSE,alterations: Wilson Brothers; alterations: C. Wilson,https://www.preservationalliance.com/images/aia/609SCliftonSt.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_108,,
Dutrieuille Catering Site #2,,West,4001 Spring Garden St.,Philadelphia,PA,19104,"4001 Spring Garden St, Philadelphia, PA, USA",39.961839,-75.202415,success,caterer,"ca. 1888, A. Wade",1888,1888,,,,,TRUE,A. Wade,,,,,none,dream_109,,
First African Presbyterian Church / Emmanuel Presbyterian Church,,West,4159 W. Girard Ave.,Philadelphia,PA,19104,"4159 W Girard Ave, Philadelphia, PA, USA",39.973946,-75.209674,success,church,"1912, Charles Bolton & Son",1912,1912,,,,,FALSE,Charles Bolton & Son,,,,,none,dream_110,,
St. Matthew Church Building,,West,215 N. 57th St.,Philadelphia,PA,19139,"215-23 N 57th St, Philadelphia, PA, USA",39.964697,-75.233722,success,church,"1940, Charles Bolton & Son",1940,1940,,,,,FALSE,Charles Bolton & Son,,,,,none,dream_111,,
Bethel Baptist Church,,West,4033-4037 Haverford Ave.,Philadelphia,PA,19104,"4033-39 Haverford Ave, Philadelphia, PA, USA",39.962923,-75.204203,success,church,"1924, Clarence Caspary",1924,1924,,,,,FALSE,Clarence Caspary,,,,,none,dream_112,,
Franklin Field,,West,33rd and Spruce Streets,Philadelphia,PA,19104,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,stadium,"1922, Day & Klauder",1922,1922,,,,,FALSE,Day & Klauder,,,,,none,dream_113,,
St. Monica Mission Church Site,,West,4206 Woodland Ave.,Philadelphia,PA,19104,"Woodland Avenue, Philadelphia, PA, USA",39.949464,-75.199983,doubt,church,"1914-1916, Duhring, Okie and Ziegler",1914,1914,2,,,,FALSE,"Duhring, Okie and Ziegler",,,,,none,dream_114,,
Paul Leroy Robeson House,"Recognized as a historical landmark in 1991; the house where actor and activist Paul Robeson was cared for by his sister, Marian R. Forsythe; during the last years of his life ",West,4951 Walnut St.,Philadelphia,PA,19139,"4951 Walnut St, Philadelphia, PA, USA",39.956688,-75.221373,success,dwelling,"1911, E.A. Wilson; alterations, ca. 1959",1911,1911,,1959,,,TRUE,E.A. Wilson,,,,,none,dream_115,women,women
African Episcopal Church of St. Thomas Site #3,,West,6361 Lancaster Ave.,Philadelphia,PA,19151,"6361 Lancaster Avenue, Philadelphia, PA, USA",39.987312,-75.251068,success,church,"1899, Frederick Mann; alterations, 1905, Baily & Bassett",1899,1899,,1905,,,FALSE,1899; Baily & Bassett,,,,,none,dream_116,,
Allen A.M.E. Church Building #3 / Fourth Reformed Presbyterian Church Building,,West,5901 Larchwood Ave.,Philadelphia,PA,19143,"5901 Larchwood Ave, Philadelphia, PA, USA",39.954000,-75.240659,success,church,"1917, George D. Savage",1917,1917,,,,,FALSE,George D. Savage,,,,,none,dream_117,,
Mount Pisgah A.M.E. Church / Centenary Methodist Church,,West,428 N. 41st St.,Philadelphia,PA,19104,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,church,"ca. 1860s-1880s; alterations, 1901, H. King; alterations, 1913, James Fernald; rebuilt after fire, 1944",1860,1860,30,1901;1913;1944,,,TRUE,H. Kingl; James Fernald,,,,,none,dream_118,,
Mount Carmel Baptist Church,,West,5732 Race St.,Philadelphia,PA,19139,"5732 Race Street, Philadelphia, PA, USA",39.964312,-75.235491,success,church,"1915, Henry DeHoff; alterations, 1938, Charles Bolton & Sons; main sanctuary, post-World War II",1915,1915,,1938,,,FALSE,Henry DeHoff; alterations: Charles Bolton & Sons,,,,,none,dream_119,,
Clanerda Presbyterian Church,,West,34th and Girard Sts.,Philadelphia,PA,19104,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,church,"ca. 1912, Horace Trumbauer (Julian Abele)",1912,1912,,,,,TRUE,Horace Trumbauer (Julian Abele),,,,,none,dream_120,,
Irvine Auditorium (University of Pennsylvania),,West,3401 Spruce St.,Philadelphia,PA,19104,"3401 Spruce Street, Philadelphia, PA, USA",39.950877,-75.193010,success,auditorium,"ca. 1928, Horace Trumbauer (Julian Abele)",1928,1928,,,,,TRUE,Horace Trumbauer (Julian Abele),,,,,none,dream_121,,
Otto Eisenlohr House / President's House (University of Pennsylvania),,West,3812 Walnut St.,Philadelphia,PA,19104,"Walnut Street, Philadelphia, PA, USA",39.949649,-75.166730,doubt,dwelling,"ca. 1905, Horace Trumbauer (Julian Abele)",1905,1905,,,,,TRUE,Horace Trumbauer (Julian Abele),,,,,none,dream_122,,
Zoological Society Building,,West,34th and Girard Sts.,Philadelphia,PA,19104,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,"ca. 1912, Horace Trumbauer (Julian Abele)",1912,1912,,,,,TRUE,Horace Trumbauer (Julian Abele),,,,,none,dream_123,,
Stephen Smith Home for the Aged and Infirmed,,West,4400 W. Girard Ave.,Philadelphia,PA,19104,"4400 W Girard Ave, Philadelphia, PA, USA",39.972816,-75.212586,success,retirement home,"ca. 1883, Hutton, Addison",1883,1883,,,,,TRUE,"Hutton, Addison",,,,,none,dream_124,,
Overbrook High School (Wilt Chamberlain),,West,5898 Lancaster Ave.,Philadelphia,PA,19131,"Lancaster Avenue, Philadelphia, PA, USA",39.974485,-75.220917,doubt,school,"1924, Irwin T. Catherine",1924,1924,,,,,FALSE,,,,,,none,dream_125,women,women
Star of Hope Baptist Church,,West,443 N. 60th St.,Philadelphia,PA,19151,"443 N 60th St, Philadelphia, PA, USA",39.969076,-75.239025,success,church,"ca. 1962, James Plater",1962,1962,,,,,TRUE,James Plater,,,,,none,dream_126,,
Tyree A.M.E. Church / 10th United Presbyterian Church,,West,3800 Hamilton St.,Philadelphia,PA,19104,"3800-04 Hamilton St, Philadelphia, PA, USA",39.961293,-75.197210,success,church,"1886, Lawrence Valk",1886,1886,,,,,FALSE,Lawrence Valk,,,,,none,dream_127,,
Pinn Memorial Baptist Church / Har Zion Synagogue,,West,2251 N. 54th St.,Philadelphia,PA,19131,"North 54th Street, Philadelphia, PA, USA",39.993335,-75.233854,doubt,church,"1922-1924, Leroy Rothschild; alterations and additions, 1940-1957, Silverman & Levey",1922,1922,2,1940,17,,TRUE,Leroy Rothschild; alterations: Silverman & Levey,,,,,none,dream_128,,
Lombard Central Presbyterian Church Building #2 / Friends Meeting House,,West,4201 Powelton Ave.,Philadelphia,PA,19104,"4201 Powelton Avenue, Philadelphia, PA, USA",39.959156,-75.206639,success,church,"ca. 1875; alterations, 1903, Morris & Vaux",1875,1875,,1903,,,TRUE,Morris & Vaux,,,,,none,dream_129,,
Tyree A.M.E. Church (?) / Williams Chapel / Metropolitan Baptist Church / First United Baptist Church,,West,3728-3730 Haverford Ave.,Philadelphia,PA,19104,"3728-30 Haverford Ave, Philadelphia, PA, USA",39.963242,-75.197075,success,church,"before 1922; alterations as church, 1937, Richard Neely",1922,1922,,1937,,,TRUE,Richard Neely,,,,,none,dream_130,,
Monumental Baptist Church / First Reformed Church,,West,4948 Locust St.,Philadelphia,PA,19139,"4948 Locust St, Philadelphia, PA, USA",39.955048,-75.221354,success,church,"1923-1925, Stuckert & Co.",1923,1923,2,,,,FALSE,Stuckert & Co.,,,,,none,dream_131,,
"United Mission Church / Pennsylvania Railroad Branch, YMCA / Second Antioch Baptist Church",,West,907 N. 41st St.,Philadelphia,PA,19104,"North 41st Street, Philadelphia, PA, USA",39.976197,-75.206385,doubt,church,"1892, T. P. Lonsdale",1892,1892,,,,,FALSE,T. P. Lonsdale,,,,,none,dream_132,,
White Rock Baptist Church / St. Matthew M.E. Church,,West,5240-5244 Chestnut St.,Philadelphia,PA,19139,"5240-44 Chestnut St, Philadelphia, PA, USA",39.958292,-75.226884,success,church,"original church building, 1889-1890, T. P. Lonsdale; parish house, 1899, T. P. Lonsdale; substantial chapel addition, 1908, Wesl",1889,1889;1899,1;0,1908,,,FALSE,T. P. Lonsdale; Wesl,,,,,none,dream_133,,
St. Michael and All Angels Chapel / Bethany Baptist Church / Victory Baptist Church,,West,4238 Wallace St.,Philadelphia,PA,19104,"4238-40 Wallace St, Philadelphia, PA, USA",39.963341,-75.208620,success,church,"1889, William Camac, project architect, in firm of Furness, Evans & Co.; alterations, 1920, John E. Bullock",1889,1889,,1920,,,FALSE,"William Camac, project architect, in firm of Furness, Evans & Co.; alterations, John E. Bullock",,,,,none,dream_134,,
Temple 12 (Site #3) / Makkah Masjid,"Built in 1902, Malcolm X moved the Nation of Islam Temple #12 there in 1962 (from it's old location at 4218 Lancaster Ave.). It is currently Makkah Masjid. More info: https://hiddencityphila.org/2017/01/peeling-back-the-layers-on-malcolm-xs-mosque-12/",North,1319-21 West Susquehanna Ave.,Philadelphia,PA,19122,"1319-21 W Susquehanna Ave, Philadelphia, PA, USA",39.986375,-75.154656,success,mosque,1902,1902,1902,,,,,,,,,,,none,dream_135,,
Temple 12 (Site #2),The second location of Temple 12 during the late 1950s and until 1962.,West,4218 Lancaster Ave.,Philadelphia,PA,,"4218 Lancaster Ave, Philadelphia, PA, USA",39.966785,-75.208606,success,mosque,,,,,,,,,,,,,,none,dream_136,,
Temple 12 (Site #1),"The first location of Temple 12 in Philadelphia, and currently home of the Holy Ghose Crusade Church",North,1643 North Bailey St.,Philadelphia,PA,,"1643 N Bailey St, Philadelphia, PA, USA",39.98079,-75.177926,success,mosque,,,,,,,,,,,,,,none,dream_137,,
Mosque 12 (Site #4),The current location of Mosque 12. ,North,2508 N Broad St,Philadelphia,PA,,"2508-10 N Broad St, Philadelphia, PA, USA",39.991335,-75.155608,success,mosque,,,,,,,,,,,,,,none,dream_138,,
Sister Clara Muhammad School / The Philadelphia Masjid,"Formerly a Sister Clara Muhammad School (the primary schools of the Nation of Islam), which closed in 2005, that is currently the Philadelphia Masjid.",West,4700 Wyalusing Ave,Philadelphia,PA,,"4700-20 Wyalusing Ave, Philadelphia, PA, USA",39.969821,-75.216165,success,mosque,,,,,,,,,,,,,,none,dream_139,women,women
